word_id,root_id,sequence,sequence_2
"1413","987","3","1"
"1419","197","1","2"
"1419","374","2","1"
"1423","959","3","1"
"1423","568","2","2"
"1740","1318","3","1"
"1740","1316","2","2"
"1740","1391","1","3"
"1793","1872","1","2"
"1793","134","2","3"
"1893","91","1","3"
"1817","1315","1","2"
"1817","1323","2","1"
"772","1164","2","3"
"1471","344","2","1"
"1472","352","2","1"
"1472","100","1","2"
"1474","352","2","2"
"1474","766","1","1"
"1475","987","2","1"
"1475","355","1","2"
"1476","355","1","2"
"3128","823","2","1"
"1477","355","1","2"
"1477","897","2","1"
"926","1805","1","2"
"1458","897","2","1"
"40","4276","1","2"
"305","58","1","2"
"305","1018","3","3"
"305","3916","4","1"
"677","100","1","2"
"380","1064","3","1"
"380","1805","2","3"
"86","3221","1","2"
"380","35","1","2"
"2655","137","1","3"
"2655","2056","2","2"
"3128","1527","1","2"
"2656","878","2","1"
"2656","1327","1","2"
"2715","1266","2","3"
"2715","1343","3","1"
"1824","2819","2","2"
"2661","543","1","3"
"2661","823","3","1"
"2662","374","2","2"
"2662","846","3","1"
"2662","1331","1","3"
"1535","963","3","2"
"1535","822","4","1"
"2663","43","1","3"
"2663","594","2","2"
"2663","2101","3","1"
"2664","366","1","3"
"2664","374","2","2"
"2664","869","3","1"
"2665","838","2","1"
"2665","1332","1","2"
"2666","362","2","2"
"2667","1852","1","2"
"2716","690","2","1"
"2716","1024","1","2"
"2672","4300","2",NULL
"2669","91","1","2"
"2669","869","3","1"
"2669","1336","2","3"
"2670","908","3","1"
"2670","784","2","2"
"2670","113","1","3"
"2671","884","3","1"
"2671","2198","2","3"
"2673","807","2","1"
"2673","1141","1","2"
"2674","4055","3",NULL
"2660","959","2","1"
"2660","1339","1","2"
"986","340","2","2"
"986","1428","1","1"
"2714","748","1","2"
"2714","1341","2","1"
"2715","1344","1","2"
"2685","342","1","3"
"2685","959","3","1"
"2685","1353","2","2"
"2687","944","3","1"
"2687","1344","1","3"
"2687","1345","2","2"
"2688","812","3","1"
"2688","341","2","3"
"2688","1024","1","2"
"2689","836","2","2"
"2689","1909","1","1"
"2944","897","2","1"
"2691","1301","2","1"
"2691","2029","1","2"
"2719","717","2","1"
"2719","1505","1","2"
"6029","884","3","1"
"2693","1354","1","2"
"2693","3525","3","1"
"2694","1065","3","1"
"2694","1350","2","2"
"2694","1325","1","3"
"2695","886","3","1"
"2695","1177","1","3"
"2695","1351","2","2"
"2693","1349","2","3"
"2724","374","2","1"
"2724","1331","1","2"
"2666","3539","1","3"
"2667","1356","2","1"
"2674","1357","2","2"
"2696","897","3","1"
"2696","1359","2","3"
"2696","1358","1","2"
"2697","58","1","1"
"2697","1713","3","4"
"2697","1384","2","3"
"2698","896","2","2"
"2698","3064","1","1"
"2704","721","2","2"
"2704","823","3","1"
"86","2584","2","1"
"2725","201","1","2"
